web-scraper-order,web-scraper-start-url,reviewer,rating,review_text,date
"1758845242-1","https://www.tripadvisor.com/Restaurant_Review-g60378-d7267142-Reviews-The_Norbert-West_Bend_Wisconsin.html","Sandy C","5 of 5 bubbles","In a word...Wow! We chose The Norbert because it had many options that were gluten free, this is a struggle at many restaurants . But it is clear at The Norbert the chefs understand that you should let a foods natural flavors come through and not cover them by dredging the food in flour. They offer up WI classics like cheescurds and fried chicken in a delicate coating of flour alternatives to still give you the classic food but keep it fresh and light.  The flavor profiles of everything was of the charts.  We had the cheese curds, brussel sprouts, fried chicken and steak tacos and EVERYTHING was amazing.  The waitstaff is friendly and responsive to your needs.  The owner is clear and present and working his tail off to make your experience the best! As we were preparing to leave, it was pouring rain, the owner thought he had some umbrellas stashed and stopped us to go looking for them. While he couldn't find them, the offer and time he spent to do this was very much appreciated.  Then his staff suggested we come back in for some dessert. We said there was nothing gluten free in desserts and we were told, well, we may have something for you.  The amazing chef, I think his name was Jay, made us an Australian Pavlova.  Again, it had the most amazing flavor profile and texture variation, of any dessert we have ever had.  West Bend has a hidden gem among it, The Norbert is a must stop for everyone, but make sure you leave us a table, because we will be back!","Written August 1, 2024"
"1758845242-2","https://www.tripadvisor.com/Restaurant_Review-g60378-d7267142-Reviews-The_Norbert-West_Bend_Wisconsin.html","The Bearded Traveler","5 of 5 bubbles","The passion that goes into the food here is easily noticeable after your first bite. We loved everything we ate. The flavors are explosive and there is nothing like this place in the area. Staff is professional, well dressed and friendly. The restaurant and kitchen are very clean as are the bathrooms. You can tell the owner and employees take great pride in this establishment!","Written January 16, 2024"
"1758845242-3","https://www.tripadvisor.com/Restaurant_Review-g60378-d7267142-Reviews-The_Norbert-West_Bend_Wisconsin.html","Thomas D","5 of 5 bubbles","We live in West Bend and were planning to have dinner at a fine restaurant in Milwaukee. It was getting late so we decided to have dinner in West Bend at The Norbert, and were glad we did. You don’t have to travel to Milwaukee for fine dining, wonderful drinks and impeccable friendly service.","Written December 23, 2023"
"1758845242-4","https://www.tripadvisor.com/Restaurant_Review-g60378-d7267142-Reviews-The_Norbert-West_Bend_Wisconsin.html","Bender Lifer","4 of 5 bubbles","What a fabulous gem in West Bend.  The best thing going in town in my opinion.  Creative menu items.  Fantastic bar staff.  A fabulous place to hang out.  Newly remodeled.  Really nice!  
Only drawback... no more musical entertainment.  Many of us in town miss that.  :(","Written November 14, 2023"
"1758845242-5","https://www.tripadvisor.com/Restaurant_Review-g60378-d7267142-Reviews-The_Norbert-West_Bend_Wisconsin.html","Mark60187","5 of 5 bubbles","Drove from where we were staying in Brown Deer to check out the Norbert after reading the reviews on Trip Advisor. Positive reviews are spot on. Wife is still trying to figure out why her Cosmo was so good. We tried 3 apps and 4 dishes and wish we had tried more. Everything was excellent except the desert we ordered to go, could use a little more creativity on those options or maybe we were just to full :)","Written April 16, 2023"
"1758845242-6","https://www.tripadvisor.com/Restaurant_Review-g60378-d7267142-Reviews-The_Norbert-West_Bend_Wisconsin.html","majormoe","5 of 5 bubbles","Small and regular size menu options with ever changing options and while the menu isn't large it is filled with dishes that look and taste amazing with very reasonable prices.The servers were very friendly and attentive and while the wine list was small,it had glasses and bottles in the $8/$46 range.Very nice layout with attractive niknaks on walls.But we came here for the food and it did not disappoint us.We started with the best dish we tried Octopus(gf),made with fingerling potatoes,olives,chorizo,rainbow chard,in a amazing red pepper jus for $19 and a large serving size for 2 people.We then had a small plate size portion of the house pasta(v)cavatelli,tomato and parmesan brodo,fresh mozzarella,basil oil $15 and it was perfect and not overcooked and vert tasteful.For mains the wife had Ruby red trout with beech mushrooms,red onion,scallion,mint ,cilentro,very light and refreshing served in a amazing tamarind and lemongrass broth$22,truly one of the best trout dishes ever tried.I ordered the Steak Frites $26 7 oz ribeye,served sliced  with mushrooms and perfectly done french fries with a very light brown gravy on them,the steak wasn't prime at that price but was tasty and tender.For dessert we had the incredible sea salt and caramel Creme Brulee which was very creamy and tasteful.great restaurant at reasoable prices with amazing presentation and tastes","Written March 24, 2023"
"1758845242-7","https://www.tripadvisor.com/Restaurant_Review-g60378-d7267142-Reviews-The_Norbert-West_Bend_Wisconsin.html","Mosemeister","5 of 5 bubbles","As good an experience as anywhere in the region-great cocktail to start-perfectly prepared steak and fish 
Outside dining intimate-upstairs bar area very cool 
Have been there a number of times and always a great value
The staff attentive all around 
Highly highly recommended","Written July 6, 2022"
"1758845242-8","https://www.tripadvisor.com/Restaurant_Review-g60378-d7267142-Reviews-The_Norbert-West_Bend_Wisconsin.html","ScreenName911","5 of 5 bubbles","We found this restaurant in downtown West Bend and boy was it fantastic.  From the Sour Cherry Old Fashioned to all of the wonderful tapas and the nice musician playing in the background.  Highly recommend the Melon Salad, Pear and Brie Flatbread as well as the Coconut Shrimp.  You won't be disappointed.  Service was outstanding as well.","Written June 24, 2022"
"1758845242-9","https://www.tripadvisor.com/Restaurant_Review-g60378-d7267142-Reviews-The_Norbert-West_Bend_Wisconsin.html","tourgalmn","5 of 5 bubbles","My husband and I had a one night stay in West Bend for business.  As we wondered throughout town we asked several people for a dinner restaurant recommendation.  Three different people suggested this place.  It did not disappoint! The food, service and atmosphere were fabulous.  Small plates with huge flavor!  We loved the  goat cheese appetizer, brisket bruschetta and Buttermilk Chicken; all shareable.  The food was more than 2 people could share.   We look forward to coming back on our next trip through West Bend.  This is a destination place.","Written February 1, 2022"
"1758845242-10","https://www.tripadvisor.com/Restaurant_Review-g60378-d7267142-Reviews-The_Norbert-West_Bend_Wisconsin.html","b0nz","5 of 5 bubbles","My wife and I have been here many times. We are never disappointed. Service is great. Drinks are great.  It's fun to share a few dishes. My wife is gluten free and they always can accommodate.","Written September 30, 2021"
